,TTDDRUGID,LNM,Indication,ICD9,ICD10
16723,DNC001325,sib-1508y,Parkinson's disease,332,"F02.3, G20"
16724,DNC001327,sib-1553a,Alzheimer's disease,"331.0, 331.83","G30, G31.84"
16725,DNC001335,sk&f 86002,Rheumatold arthritis,714,M05-M06
16726,DNC001339,skf 38393,Diabetes mellitus type 2,250,E11
16727,DNC001341,sl65.0155,Parkinson's disease,332,"F02.3, G20"
16728,DNC001342,sl65.0472,Cardiovascular disease,"325, 390-459, 401, 428, 430-459","G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95"
16729,DNC001344,sm 11044,Asthma,493,J45
16730,DNC001345,sn-38,Cancer,140-229,C00-C96
16731,DNC001346,sn429,Thrombosis,"437.6, 453, 671.5, 671.9",I80-I82
16732,DNC001354,somatoprim,Acromegaly,253,E22.0
16733,DNC001358,spiramycin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
16734,DNC001362,spiroglumide,Stomach disease,.,K30-K31
16735,DNC001363,spr-210,Diabetic complication,.,E08-E13
16736,DNC001366,sr 120819a,Eating disorder,"278, 307.5, 401, 428.0","E66, F50, I10, I11, I12, I13, I15, I50"
16737,DNC001368,sr 49059,Hyponatremia,"276.1, 428","E87.1, I50"
16738,DNC001371,sr141716a,Obesity,.,.
16739,DNC001377,ssr125543a,Depression,311,F32
16740,DNC001378,ssr240600,Urinary incontinence,788.3,"N39.3, N39.4, R32"
16741,DNC001383,sti571,Acute lymphoblastic leukaemia,.,.
16742,DNC001384,su10991,Multiple myeloma,"203.0, 208.9","C90.0, C91-C95"
16743,DNC001386,su5402,Multiple myeloma,"203.0, 208.9","C90.0, C91-C95"
16744,DNC001393,sulphameth oxazole,P. falciparum infection,84,B50-B54
16745,DNC001394,sun n4057,Coronary artery disease,"410-414, 429.2",I20-I25
16746,DNC001396,swr-0342sa,Obesity,278,E66
16747,DNC001401,t-1106,Viral infections,"054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053","B01, B02, A60, B00, B27, G05.1, P35.2"
16748,DNC001402,t-1249,HIV infections,"001-139, 042","A00-B99, B20"
16749,DNC001408,tallimustine,Solid tumours,"140-199, 210-229","C00-C75, C7A, C7B, D10-D36, D3A"
16750,DNC001410,tas-103,Solid tumours,"140-199, 210-229","C00-C75, C7A, C7B, D10-D36, D3A"
16751,DNC001412,tbc 11251 (tbc),Pulmonary arterial hypertension,.,.
16752,DNC001415,tcv-309,Septic shock,785.52,A41.9
16753,DNC001416,td-1792,Gram-positive infections,.,A36.9
16754,DNC001417,td-5108,Gastroparesis,536.3,K31.8
16755,DNC001419,telaprevir,Hepatitis C virus infection,"070.4, 070.5, 070.70, 573.3","B17.1, B18.2, K75.9"
16756,DNC001420,telavancin,Staphylococcus aureus infection,001-139,A00-B99
16757,DNC001422,telomestatin,Multiple myeloma,"203.0, 208.9","C90.0, C91-C95"
16758,DNC001423,tepoxalin,Asthma,493,J45
16759,DNC001431,thiazolidinedione,Alzheimer's disease,"331.0, 331.83","G30, G31.84"
16760,DNC001434,thiolactomycin,Malaria,84,B50-B54
16761,DNC001435,thioperamide,Cognitive impairment,331.83,G31.84
16762,DNC001436,thiophene sulfonamide,Malaria,84,B50-B54
16763,DNC001444,tiapride,Alcohol use disorders,303,F10.2
16764,DNC001449,tipifarnib,Solid tumours,"140-199, 210-229","C00-C75, C7A, C7B, D10-D36, D3A"
16765,DNC001452,tmpyp4,Multiple myeloma,"203.0, 208.9","C90.0, C91-C95"
16766,DNC001453,tnp-470,Solid tumours,"140-199, 210-229","C00-C75, C7A, C7B, D10-D36, D3A"
16767,DNC001454,toll-like receptor 4 inhibition,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
16768,DNC001455,tolrestat,Diabetic cataract,.,"E10.36,E11.36"
16769,DNC001462,triapine,Nerve injury,.,T14.4
16770,DNC001465,trichostatin a,Cancers,140-239,C00-C96
16771,DNC001466,tricyclics,Kinetoplastids,"085, 086","B55, B56, B57"
16772,DNC001471,trimidox,Cancer,140-229,C00-C96
16773,DNC001473,triptolide,Autoimmune diseases,279,"D84.9, M35.9"
16774,DNC001476,tubacin,Multiple myeloma,"203.0, 208.9","C90.0, C91-C95"
16775,DNC001479,u 75302,Allergy,995.3,T78.4
16776,DNC001483,ucl-1390,Eating disorder; Epilepsy; Pain,"307.5, 338,780","F50, R52, G89"
16777,DNC001485,"uk 14,304",Glaucoma,365,H40-H42
16778,DNC001486,"uk-279,276",Stroke,"434.91, 437.6, 453, 671.5, 671.9","I61-I63, I80-I82"
16779,DNC001488,ulinastatin,Premature labour,"644, 765","O60.1, P07.3"
16780,DNC001490,urapidil,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
16781,DNC001491,uridine,Depression,311,F32
16782,DNC001496,vinylsulphones,P. falciparum infection,84,B50-B54
16783,DNC001497,viozan,Chronic obstructive pulmonary disease,"490-492, 494-496","J40-J44, J47"
16784,DNC001501,vitamin k3,Prostate cancer,"140-229, 185","C00-C96, C61"
16785,DNC001502,vitaxin,Solid tumours,"140-199, 210-229","C00-C75, C7A, C7B, D10-D36, D3A"
16786,DNC001506,vx-148,Psoriasis,696,L40
16787,DNC001507,vx-497,Hepatitis virus infection,573.3,K75.9
16788,DNC001509,way-100635,Eating disorder,"278, 307.5, 401, 428.0","E66, F50, I10, I11, I12, I13, I15, I50"
16789,DNC001512,web 2086,Asthma,493,J45
16790,DNC001513,wl-1001,P. falciparum infection; Trypanosoma,"084, 086","B50-B54, B56"
16791,DNC001514,wortmannin,Hematologic malignancies,200-209,C81-C96
16792,DNC001516,wr99210,Plasmodium infection,.,B54
16793,DNC001517,xolair,Allergic rhinitis,"472.0, 477, 995.3","J00, J30, J31.0, T78.4"
16794,DNC001519,y-25130,Nausea and vomiting,.,.
16795,DNC001520,y-27632,Asthma,493,J45
16796,DNC001524,ym 087,Hyponatremia,"276.1, 428","E87.1, I50"
16797,DNC001527,ym872,Coronary artery disease,"410-414, 429.2",I20-I25
16798,DNC001531,zamifenacin,Urinary incontinence,788.3,"N39.3, N39.4, R32"
16799,DNC001532,zd-0892,Chronic obstructive pulmonary disease,"490-492, 494-496","J40-J44, J47"
16800,DNC001534,zd2079,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
16801,DNC001535,zd6416,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16802,DNC001536,zd7114,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
16803,DNC001537,zd-8321,Acute lung injury,.,.
16804,DNC001541,zm-230487,Asthma,493,J45
16805,DNC001544,zydis selegiline,Motor symptoms; Parkinson's disease,"332, 335.2","F02.3, G12.2, G20"
16806,DNC001545,ogx-427 + paclitaxel,Breast cancer; Ovarian cancer; Bladder cancer; Prostate cancer; Lung cancer,"140-229, 162, 183, 188","C00-C96, C33-C34, C56, C67"
16807,DNC001546,isis 2922 + ganciclovir,Viral infections,"054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053","B01, B02, A60, B00, B27, G05.1, P35.2"
16808,DNC001547,isis 2922 + foscarnet 3' -azido-3'-deoxythymidine 2'-3'-dideoxycytidine,Viral infections,"054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053","B01, B02, A60, B00, B27, G05.1, P35.2"
16809,DNC001548,rbi034 (2-5a antisense compound) + ribavirin,Upper and lower respiratory tract disease,460-519,J00-J99
16810,DNC001549,g3139 + paclitaxel,Small-cell lung cancer,"162, 202.8, 203.0, 208.9","C33, C34, C81-C96, C90.0, C91-C95"
16811,DNC001550,g3139 + fludarabine,Relapsed acute leukemia,204-208,C91-C95
16812,DNC001551,g3139 + cytarabine (ara-c),Relapsed acute leukemia,204-208,C91-C95
16813,DNC001552,g3139 + g-csf,Relapsed acute leukemia,204-208,C91-C95
16814,DNC001553,g3139 + dacarbazine,Advanced melanoma,172,C43
16815,DNC001554,g3139 + thalidomide,Multiple myeloma,"203.0, 208.9","C90.0, C91-C95"
16816,DNC001555,g3139 + dexamethasone,Multiple myeloma,"203.0, 208.9","C90.0, C91-C95"
16817,DNC001556,g3139 + irinotecan,Metastatic colorectal cancer,"153, 154",C18-C21
16818,DNC001557,cantide + cisplatin,Tumors,"140-199, 210-229","C00-C75, C7A, C7B, D10-D36, D3A"
16819,DNC001558,cantide + 5-fu,Tumors,"140-199, 210-229","C00-C75, C7A, C7B, D10-D36, D3A"
16820,DNC001559,cantide + adriamycin,Tumors,"140-199, 210-229","C00-C75, C7A, C7B, D10-D36, D3A"
16821,DNC001560,ts antisense + 5-fu,Cancer,140-229,C00-C96
16822,DNC001561,ts antisense + raltitrexed,Cancer,140-229,C00-C96
16823,DNC001562,mcl-1-specific antisense oligonucleotide + imatinib (sti571),Systemic mastocytosis,"202.6, 757.33","C96.2, Q82.2"
16824,DNC001563,mcl-1-specific antisense oligonucleotide + midostaurin(pkc412),Systemic mastocytosis,"202.6, 757.33","C96.2, Q82.2"
16825,DNC001564,mcl-1-specific antisense oligonucleotide + nilotinib (amn107),Systemic mastocytosis,"202.6, 757.33","C96.2, Q82.2"
16826,DNC001565,affinitak + gemcitabine,Non-small-cell lung carcinoma,"162, 208.9","C33, C34, C91-C95"
16827,DNC001566,affinitak + cisplatin,Non-small-cell lung carcinoma,"162, 208.9","C33, C34, C91-C95"
16828,DNC001567,qpi-1002,Renal artery disease,.,I70.1
16829,DNC001568,pf-04523655,Diabetic macular edema,"250, 362.01, 362.07, 362.53, 782.3","E08-E13, E08.3, E09.3, E10.3, E11.3, E13.3, H35.8, R60.9"
16830,DNC001569,pctx1,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16831,DNC001570,apetx2,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16832,DNC001572,a-803467,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16833,DNC001575,"cj 11,974-01",Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16834,DNC001576,dup 697,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16835,DNC001577,bimetopyrole,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16836,DNC001578,qx-314,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16837,DNC001579,e-2050,Cerebrovascular ischaemia,434.91,I61-I63
16838,DNC001580,sb-221420-a,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16839,DNC001581,nmed-160,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16840,DNC001582,ns-7,Nerve injury,.,T14.4
16841,DNC001583,pd173212,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16842,DNC001584,pd176078,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16843,DNC001585,ajinomoto 1,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16844,DNC001586,ajinomoto 2,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16845,DNC001587,ajinomoto 3,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16846,DNC001588,euro-celtique 1,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16847,DNC001589,euro-celtique 2,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16848,DNC001590,euro-celtique 3,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16849,DNC001591,euro-celtique 4,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16850,DNC001592,neuromed 2,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16851,DNC001593,neuromed 5,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16852,DNC001594,ono 1,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16853,DNC001595,ono 2,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16854,DNC001596,ono 3,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16855,DNC001597,parke-davis 1,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16856,DNC001598,parke-davis 9,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16857,DNC001601,nox 2149,Pain; Stress,"300, 338,780","F40-F42, R52, G89"
16858,DNC001602,nox 2137a/b,Pain; Stress,"300, 338,780","F40-F42, R52, G89"
16859,DNC001603,ld201t1,Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
16860,DNC001604,igel1.2,Allergic diseases,995.3,T78.4
16861,DNC001605,d17.4,Myasthenia gravis,358,G70.0
16862,DNC001609,adr58,Rheumatold arthritis,714,M05-M06
16863,DNC001610,dd7,Septic shock; Myocardial ischaemia-reperfusion injury; Acute respiratory distress syndrome,"492, 518.5, 518.82, 785.52","A41.9, J43, J80"
16864,DNC001611,ed1,Septic shock; Myocardial ischaemia-reperfusion injury; Acute respiratory distress syndrome,"492, 518.5, 518.82, 785.52","A41.9, J43, J80"
16865,DNC001612,ed45,Septic shock; Myocardial ischaemia-reperfusion injury; Acute respiratory distress syndrome,"492, 518.5, 518.82, 785.52","A41.9, J43, J80"
16866,DNC001614,del 60 tetramer,Cancer immunotherapy,140-229,C00-C96
16867,DNC001615,se rna,HIV infections,"001-139, 042","A00-B99, B20"
16868,DNC001618,epostane,Termination of early pregnancy,779.6,O04
16869,DNC001627,sl125,Congestive heart failure; Myocardial fibrosis; Hyperaldosteronism,"255.1, 425.0, 425.3, 428, 428.0, 709.2","E26, I42.0, I42.5, I50, L90.5"
16870,DNC001650,8-oh-dpat,Parkinson's disease,332,"F02.3, G20"
16871,DNC001653,mm-111,Breast cancer,"174, 175, 217","C50, D24"
16872,DNC001657,rwj-49968,Fungal diseases,110-118,B35-B49
16873,DNC001658,rwj-61907,Fungal diseases,110-118,B35-B49
16874,DNC001687,isis 23722,Solid tumours,"140-199, 210-229","C00-C75, C7A, C7B, D10-D36, D3A"
16875,DNC001763,isis 13920,Cancer,140-229,C00-C96
16876,DNC001796,isis 15770,Cancer,140-229,C00-C96
16877,DNC001810,isis 1570,Pouchitis,.,K91.8
16878,DNC001823,isis 2105,Papillomavirus infections,.,B97.7
16879,DNC001824,isis 2922,Cytomegalovirus infections,.,.
16880,DNC002045,isis 18078,Cancer,140-229,C00-C96
16881,DNC002096,isis 16507,Cancer,140-229,C00-C96
16882,DNC002098,isis 16518,Cancer,140-229,C00-C96
16883,DNC002332,a-317920,Attention deficit hyperactivity disorder,"314.00, 314.01",F90
16884,DNC002333,a-331440,Obesity,278,E66
16885,DNC002334,asperlicin,Gastrointestinal disorders,530-558,K20-K64
16886,DNC002336,bag956,Hematologic malignancies,200-209,C81-C96
16887,DNC002337,cg-1521,Cancer,140-229,C00-C96
16888,DNC002338,ciproxifan,Dementia,"290-294, 331.0","F01-F07, G30"
16889,DNC002338,ciproxifan,Obesity,278,E66
16890,DNC002339,devazepide,Gastrointestinal disorders,530-558,K20-K64
16891,DNC002340,dr2313,Permanent and transient stroke,"434.91, 435.9","G45.9, I61-I63"
16892,DNC002342,fub 649,Hypersomnia,.,G47.1
16893,DNC002343,gsk189254a,Cognitive disorders,"290-294, 294.0, 780.09, 780.9, 780.93","F01-F07, F04, F05, R41.3"
16894,DNC002344,gsk690693,Hematologic malignancies,200-209,C81-C96
16895,DNC002347,jnj-10181457,Sleep and cognitive disorders,"290-294, 294.0, 307.4, 327, 327.0, 780.09, 780.5, 780.9, 780.93","F01-F07, F04, F05, F51, G47, R41.3"
16896,DNC002348,jnj-5207852,Narcolepsy,347,G47.4
16897,DNC002349,kosn1559,Cancers,140-239,C00-C96
16898,DNC002351,lactoquinomycin,Hematologic malignancies,200-209,C81-C96
16899,DNC002352,ly433221,Depression,311,F32
16900,DNC002353,ly433222,Depression,311,F32
16901,DNC002354,macbecin,Cancers,140-239,C00-C96
16902,DNC002358,pi-103,Hematologic malignancies,200-209,C81-C96
16903,DNC002360,pu24s,Cancers,140-239,C00-C96
16904,DNC002361,pu3,Cancer,140-229,C00-C96
16905,DNC002362,pu-h58,Cancers,140-239,C00-C96
16906,DNC002363,s33005,Depression,311,F32
16907,DNC002364,sch79687,Central nervous system disease,.,G00-G99
16908,DNC002366,thieno-phenanthridin-6-one,Brain ischaemia,"435, 437","G45.9, I67.8"
16909,DNC002370,ver 50589,Breast cancer,"174, 175, 217","C50, D24"
16910,DNC002374,zstk474,Cancer,140-229,C00-C96
16911,DNC002375,biln-2061,Hepatitis virus infection,573.3,K75.9
16912,DNC002376,"1,3-bis(1,3-benzothiazol-2-ylthio)acetone",Melanoma; Glioma,"172, 191","C43, C71"
16913,DNC002377,3-benzofuran-2-yl-2-benzothiazol-2-yl-3-oxo-propanenitrile,Melanoma; Glioma,"172, 191","C43, C71"
16914,DNC002378,5-fluoro-1h-indole-2-carboxylic acid,Melanoma; Glioma,"172, 191","C43, C71"
16915,DNC002379,anti-mir-191 modified oligonucleotide,Hepatocellular carcinoma,155,C22.0
16916,DNC002381,avp-13546,Refractory autoimmune diseases,279.4,"D84.9, M35.9"
16917,DNC002382,avp-13748,Autoimmune diseases,279,"D84.9, M35.9"
16918,DNC002382,avp-13748,Refractory autoimmune diseases,279.4,"D84.9, M35.9"
16919,DNC002384,biaryl thiophenes,Inflammatory disorders,.,.
16920,DNC002385,bms-488516,Inflammatory disorders,.,.
16921,DNC002386,bms-509744,Inflammatory disorders,.,.
16922,DNC002387,bms-863233,Hematological malignancies,200-209,C81-C96
16923,DNC002388,bpkdi,Cancer,140-229,C00-C96
16924,DNC002389,calcineurin,T-cell mediated immune dysfunction,279.1,D83.1
16925,DNC002392,cid755673,Cancer,140-229,C00-C96
16926,DNC002394,crt0066101,Cancer,140-229,C00-C96
16927,DNC002395,dsm1,Malaria,84,B50-B54
16928,DNC002395,dsm1,Plasmodium falciparum infection,.,B54
16929,DNC002396,dsm2,Malaria,84,B50-B54
16930,DNC002397,g6976,Cancer,140-229,C00-C96
16931,DNC002400,k252a,Cancer,140-229,C00-C96
16932,DNC002401,l-erythro-3-hydroxyaspartate,Neurodegenerations; Epilepsy; Neuropathic pain; Drug addiction; Schizophrenia,"295, 303-304, 330-337, 338, 345, 356.0, 356.8,780","F10-F19, F20, G30-G32, G40, G64, G90.0, R52, G89"
16933,DNC002402,lobeline,Substance dependence,.,F10-F19
16934,DNC002403,malonic acid,Neurodegenerations; Epilepsy; Neuropathic pain; Drug addiction; Schizophrenia,"295, 303-304, 330-337, 338, 345, 356.0, 356.8,780","F10-F19, F20, G30-G32, G40, G64, G90.0, R52, G89"
16935,DNC002405,napqi,Refractory autoimmune diseases,279.4,"D84.9, M35.9"
16936,DNC002406,narciclasine,Melanomas,172,C43
16937,DNC002407,nms-1116354,Solid tumours,"140-199, 210-229","C00-C75, C7A, C7B, D10-D36, D3A"
16938,DNC002408,pf-4957325-00,Inflammatory disorders,.,.
16939,DNC002409,pyzd-4409,Cancer,140-229,C00-C96
16940,DNC002409,pyzd-4409,Leukemia,208.9,C91-C95
16941,DNC002414,wrr605,Amebiasis,6,A06
16942,DNC002446,flufenamic acid,Dysmenorrhea,625.3,N94.4-N94.6
16943,DNC002508,arecoline,Parkinson's disease,332,"F02.3, G20"
16944,DNC002525,dihydrotestosterone,Prostate hyperplasia,.,N40
16945,DNC002608,gc-24,Hyperthyroidism,242,E05
16946,DNC002639,"mdl 101,146",Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
16947,DNC002640,putrescine,Burns and burn infection,001-139,A00-B99
16948,DNC002655,mf268,Alzheimer's disease,"331.0, 331.83","G30, G31.84"
16949,DNC002665,aniracetam,Cerebrovascular ischaemia,434.91,I61-I63
16950,DNC002668,filaminast,Chronic obstructive pulmonary disease,"490-492, 494-496","J40-J44, J47"
16951,DNC002674,tanaproget,Estrogen deficiency,.,E28.39
16952,DNC002704,gpi-1046,Parkinson's disease,332,"F02.3, G20"
16953,DNC002735,seocalcitol,Rickets,.,E55
16954,DNC002745,platensimycin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
16955,DNC002813,sb220025,Arthritis,710-719,M00-M25
16956,DNC002879,piclamilast,Rheumatold arthritis,714,M05-M06
16957,DNC003023,bestatin,Acute myeloid leukemia,"205.0, 238.7","C92.0, D46"
16958,DNC003044,epothilone d,Breast cancer,"174, 175, 217","C50, D24"
16959,DNC003150,fructose,Emesis,787,R11
16960,DNC003168,ge2270a,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
16961,DNC003212,y-700,Gout,274.00274.1274.8274.9,M10
16962,DNC003347,cb1954,Cancer,140-229,C00-C96
16963,DNC003380,"6-ethoxy-1,3-benzothiazole-2-sulfonamide",Duodenal ulcers,.,.
16964,DNC003414,benzoic acid,Fungal infection,110-118,B35-B49
16965,DNC003421,sr12813,Arteriosclerosis,440,I70
16966,DNC003437,17-dmag,Breast cancer,"174, 175, 217","C50, D24"
16967,DNC003471,taurocholic acid,Type 2 diabetes,"250.00, 250.02",E11
16968,DNC003472,fotemustine,Cancer,140-229,C00-C96
16969,DNC003475,bia,Non-insulin dependent diabetes,.,E11.9
16970,DNC003480,icrf-187,Chemoprotection,.,.
16971,DNC003505,gr-127935,Major depressive disorder,"296.2, 296.3, 710.0","F32, F33, M32"
16972,DNC003508,nbqx,Neurological disease,"338, 338.2, 410, 782.3,780","I21, I22, R52, R52.1-R52.2, R60.9, G89"
16973,DNC003511,piritrexim,Bladder cancer,"140-229, 188","C00-C96, C67"
16974,DNC003562,zacopride,Anxiety disorder,"300, 311","F32, F40-F42"
16975,DNC003569,cc-1088,Crohn's disease,555,K50
16976,DNC003574,cipemastat,Rheumatold arthritis,714,M05-M06
16977,DNC003575,abiraterone,Metastatic castration-resistant prostate cancer,"140-229, 185","C00-C96, C61"
16978,DNC003581,l-778123,Lymphoma,"202.8, 208.9","C81-C96, C91-C95"
16979,DNC003585,sb-269970,Sleep disorders,"307.4, 327, 780.5","F51, G47"
16980,DNC003628,xr-5118,Cancer,140-229,C00-C96
16981,DNC003629,fk-633,Restenosis,.,I51.89
16982,DNC003650,zopolrestat,Diabetic complication,.,E08-E13
16983,DNC003665,cdp840,Chronic obstructive pulmonary disease,"490-492, 494-496","J40-J44, J47"
16984,DNC003668,rogletimide,Breast cancer,"174, 175, 217","C50, D24"
16985,DNC003699,skf-106760,Thromboembolism,"437.6, 453, 671.5, 671.9",I80-I82
16986,DNC003707,bms-182874,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
16987,DNC003711,velnacrine,Cognitive impairment,331.83,G31.84
16988,DNC003723,abt-839,Non-small cell lung cancer,"140-229, 162, 204.0","C00-C96, C33-C34, C91.0"
16989,DNC003727,onapristone,Contraception,.,Z30
16990,DNC003732,coumate,Breast cancer,"174, 175, 217","C50, D24"
16991,DNC003737,cgs-13080,Asthma,493,J45
16992,DNC003743,l-745337,Asthma,493,J45
16993,DNC003749,cp-105696,Inflammatory bowel disease,"555, 556","K50, K51"
16994,DNC003758,cgs-22652,Angina,413,I20
16995,DNC003764,denbufylline,Cognition disorders,295,F20
16996,DNC003773,indoramin,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
16997,DNC003775,tebufelone,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
16998,DNC003789,sc-57666,Rheumatold arthritis,714,M05-M06
16999,DNC003830,e-4031,Cardiac arrhythmias,427,I47-I49
17000,DNC003847,mk-386,Acne vulgaris,706.1,L70.0
17001,DNC003856,methylthioadenosine,Multiple sclerosis,340,G35
17002,DNC003876,elarofiban,Thrombosis,"437.6, 453, 671.5, 671.9",I80-I82
17003,DNC003889,pd-153035,Psoriasis,696,L40
17004,DNC003894,vesnarinone,Cardiac failure,.,I50
17005,DNC003896,cgs-17867a,Alcohol use disorders,303,F10.2
17006,DNC003905,xemilofiban,Peripheral vascular disease,443.9,I73.9
17007,DNC003908,bb-1101,Multiple sclerosis,340,G35
17008,DNC003909,sibrafiban,Angina,413,I20
17009,DNC003911,dmp-696,Anxiety disorder,"300, 311","F32, F40-F42"
17010,DNC003918,orbofiban,Angina,413,I20
17011,DNC003938,fadrozole,Breast cancer,.,.
17012,DNC003939,snap-5089,Heart arrhythmia,.,I47-I49
17013,DNC003949,l-734217,Thrombosis,"437.6, 453, 671.5, 671.9",I80-I82
17014,DNC003950,ro-319790,Rheumatold arthritis,714,M05-M06
17015,DNC004001,l-745631,Cancer,140-229,C00-C96
17016,DNC004038,ly-255283,Asthma,493,J45
17017,DNC004040,ym-511,Breast cancer,"174, 175, 217","C50, D24"
17018,DNC004057,dmp-728,Thrombosis,"437.6, 453, 671.5, 671.9",I80-I82
17019,DNC004058,sb-201993,Psoriasis,696,L40
17020,DNC004074,rs-130830,Hepatitis C virus infection,"070.4, 070.5, 070.70, 573.3","B17.1, B18.2, K75.9"
17021,DNC004111,mdl-11939,Anxiety disorder,"300, 311","F32, F40-F42"
17022,DNC004112,manoalide,Arthritis,710-719,M00-M25
17023,DNC004118,zotepine,Anxiety disorder,"300, 311","F32, F40-F42"
17024,DNC004144,moxonidine,Alcohol use disorders,303,F10.2
17025,DNC004146,prostratin,HIV infections,"001-139, 042","A00-B99, B20"
17026,DNC004154,uk-78282,Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
17027,DNC004161,mk-499,Cardiac arrhythmias,427,I47-I49
17028,DNC004167,sch-351591,Chronic obstructive pulmonary disease,"490-492, 494-496","J40-J44, J47"
17029,DNC004204,formestane,Breast cancer,.,.
17030,DNC004233,mln-518,Acute myeloid leukemia,"205.0, 238.7","C92.0, D46"
17031,DNC004244,inogatran,Myocardial infarction,"410, 434.91","I21, I22, I61-I63"
17032,DNC004249,pd-0183812,Retinoblastoma,.,C69.2
17033,DNC004251,tilmacoxib,Colon polyps,.,K63.5
17034,DNC004256,nociceptin,Headache,"339, 784.0","G43-G44, R51"
17035,DNC004275,l-703014,Thromboembolism,"437.6, 453, 671.5, 671.9",I80-I82
17036,DNC004285,mk-852,Thrombosis,"437.6, 453, 671.5, 671.9",I80-I82
17037,DNC004287,zd-2486,Angina,413,I20
17038,DNC004296,lamifiban,Angina,413,I20
17039,DNC004298,sb-208651,Thrombosis,"437.6, 453, 671.5, 671.9",I80-I82
17040,DNC004308,lotrafiban,Cardiovascular disease,"325, 390-459, 401, 428, 430-459","G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95"
17041,DNC004309,gantofiban,Arteriosclerosis,440,I70
17042,DNC004317,pd-155080,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
17043,DNC004327,l-731735,Cancer,140-229,C00-C96
17044,DNC004382,zk-119010,Carcinoma,230-234,D00-D09
17045,DNC004417,krp-297,Hyperlipidemia,272.0-272.4,E78
17046,DNC004426,n-desmethylclozapine,Schizophrenia; Schizoaffective disorders,"295, 295.70","F20, F25"
17047,DNC004432,trypan blue,Colour dead tissues,.,.
17048,DNC004436,l-741671,Emesis,787,R11
17049,DNC004444,terikalant,Cardiac arrhythmias,427,I47-I49
17050,DNC004456,sc-53228,Asthma,493,J45
17051,DNC004457,kf-17837,Parkinson's disease,.,.
